gr_liv_area,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_remod/add,garage_yr_blt,land_slope,neighborhood,roof_matl,exter_qual,bsmtfin_type_2,saleprice,id,lot_area,house_style,overall_qual,year_built,central_air,full_bath,half_bath,bedroom_abvgr,kitchen_qual,yr_sold,saleprice
1453,530.0,2.0,1453.0,1453,1961,1961.0,Gtl,NAmes,CompShg,TA,Unf,187500,624,10573,1Story,6,1961,Y,2,0,3,TA,2009,187500
894,336.0,1.0,894.0,894,2009,1973.0,Gtl,Sawyer,CompShg,TA,BLQ,138500,86,8450,1Story,5,1965,Y,1,0,3,TA,2010,138500
1938,240.0,1.0,942.0,1265,1995,1937.0,Mod,Crawfor,CompShg,TA,Unf,198000,1534,11700,1.5Fin,5,1937,Y,2,0,4,Gd,2008,198000
1991,0.0,0.0,957.0,1034,2006,1978.7077955601446,Gtl,IDOTRR,CompShg,TA,Unf,119600,2243,8250,2Story,5,1895,N,2,0,4,TA,2007,119600
924,576.0,2.0,672.0,672,2006,2003.0,Gtl,NAmes,CompShg,TA,Unf,122900,1957,8064,1.5Fin,5,1949,Y,1,0,3,TA,2007,122900
2524,542.0,2.0,2524.0,2524,1981,1981.0,Gtl,NWAmes,WdShngl,Gd,Unf,278000,380,9600,1Story,8,1981,Y,2,1,4,Gd,2009,278000
1517,400.0,2.0,792.0,792,1950,1931.0,Mod,Crawfor,CompShg,TA,Unf,230000,2860,11435,2Story,8,1929,Y,1,0,3,Gd,2006,230000
1494,481.0,2.0,1494.0,1494,1996,1995.0,Gtl,Veenker,CompShg,Gd,GLQ,270000,2517,9549,1Story,8,1995,Y,1,1,2,Ex,2006,270000
948,410.0,2.0,948.0,948,1952,1952.0,Gtl,NAmes,CompShg,TA,Unf,125000,1933,10950,1Story,6,1952,Y,1,0,2,TA,2007,125000
1718,826.0,3.0,1705.0,1718,2008,2007.0,Gtl,CollgCr,CompShg,Gd,Unf,297000,820,10637,1Story,8,2007,Y,2,0,3,Gd,2009,297000
1142,384.0,1.0,160.0,1142,1958,1958.0,Mod,NAmes,Tar&Grv,TA,Unf,113500,675,9000,1Story,6,1958,Y,1,0,2,TA,2009,113500
1475,336.0,1.0,757.0,925,1977,1977.0,Gtl,MeadowV,CompShg,TA,Rec,127000,2910,2665,2Story,5,1977,Y,2,0,4,TA,2006,127000
1844,546.0,2.0,1844.0,1844,1977,1977.0,Gtl,NWAmes,CompShg,TA,Unf,190000,21,11751,1Story,6,1977,Y,2,0,3,TA,2010,190000
1242,528.0,2.0,1242.0,1242,1973,1973.0,Gtl,NWAmes,CompShg,TA,Unf,175500,1873,9600,1Story,7,1973,Y,1,1,3,TA,2007,175500
990,384.0,1.0,990.0,990,1994,1995.0,Gtl,CollgCr,CompShg,TA,Unf,146000,2125,8428,1Story,5,1994,Y,1,0,3,TA,2007,146000
1256,276.0,1.0,1256.0,1256,1965,1965.0,Gtl,Edwards,CompShg,Gd,LwQ,147500,1489,9937,1Story,5,1965,Y,1,1,3,TA,2008,147500
2076,850.0,3.0,2076.0,2076,2006,2006.0,Gtl,NridgHt,CompShg,Ex,Unf,465000,2383,13891,1Story,10,2006,Y,2,1,2,Ex,2006,465000
1110,602.0,2.0,1097.0,1110,1978,1978.0,Gtl,Mitchel,CompShg,TA,Unf,165500,983,9101,SFoyer,5,1978,Y,1,0,1,Gd,2009,165500
1795,352.0,1.0,1050.0,1050,1954,1954.0,Gtl,OldTown,CompShg,TA,Unf,131500,1325,12150,1.5Fin,5,1954,N,2,0,4,TA,2008,131500
1040,384.0,1.0,1040.0,1040,1965,1965.0,Gtl,Sawyer,CompShg,TA,Unf,129500,1378,11200,1Story,5,1965,Y,1,0,3,TA,2008,129500
1873,786.0,2.0,608.0,983,1950,1935.0,Mod,Crawfor,CompShg,TA,Unf,257076,1537,9670,2Story,8,1935,Y,1,1,4,TA,2008,257076
1604,660.0,2.0,984.0,984,1960,1977.0,Gtl,Edwards,CompShg,TA,BLQ,117000,905,10998,1.5Fin,5,1941,Y,2,0,3,TA,2009,117000
1502,270.0,1.0,776.0,851,2000,1931.0,Mod,Crawfor,CompShg,TA,Unf,149000,1532,7200,2Story,7,1931,Y,1,1,3,TA,2008,149000
1063,280.0,1.0,1056.0,1063,1954,1954.0,Gtl,NAmes,CompShg,TA,LwQ,128000,132,9920,1Story,5,1954,Y,1,0,3,TA,2010,128000
1626,474.0,2.0,764.0,764,2004,2003.0,Gtl,NridgHt,CompShg,Gd,Unf,155000,1078,2448,2Story,7,2003,Y,2,1,2,Gd,2008,155000
1524,440.0,2.0,756.0,768,2000,2000.0,Gtl,Somerst,CompShg,Gd,Unf,166000,2511,2998,2Story,6,2000,Y,2,1,2,Gd,2006,166000
1981,576.0,2.0,1122.0,1328,1950,1981.0,Gtl,SWISU,CompShg,TA,Unf,135000,912,7804,1.5Fin,4,1928,Y,2,0,4,Gd,2009,135000
2784,564.0,2.0,1392.0,1392,1978,1978.0,Gtl,NWAmes,CompShg,TA,LwQ,250000,2351,16692,2Story,7,1978,Y,3,1,5,Gd,2006,250000
1092,0.0,0.0,546.0,546,1970,1978.7077955601446,Gtl,MeadowV,CompShg,TA,Unf,76000,330,1476,2Story,4,1970,Y,1,1,3,TA,2010,76000
1575,400.0,2.0,216.0,1575,1951,1951.0,Gtl,NAmes,CompShg,TA,Unf,155000,2586,10170,1Story,6,1951,Y,1,1,2,Gd,2006,155000
1352,299.0,1.0,663.0,663,1969,1969.0,Gtl,Sawyer,CompShg,TA,Unf,158000,224,9364,2Story,6,1969,Y,1,1,4,TA,2010,158000
1200,480.0,2.0,600.0,600,2005,2004.0,Gtl,Somerst,CompShg,Gd,ALQ,149500,98,2544,2Story,7,2004,Y,2,1,2,Gd,2010,149500
936,240.0,1.0,936.0,936,1975,1954.0,Gtl,NAmes,CompShg,TA,Unf,121000,2565,9888,1Story,5,1954,Y,1,0,2,TA,2006,121000
1040,293.0,1.0,1040.0,1040,1953,1953.0,Gtl,NAmes,CompShg,TA,ALQ,136000,1934,7942,1Story,6,1953,Y,1,0,3,TA,2007,136000
1636,386.0,2.0,916.0,916,1996,1996.0,Gtl,Gilbert,CompShg,TA,Unf,173000,997,15038,2Story,6,1996,Y,2,1,3,TA,2008,173000
2270,671.0,3.0,1152.0,1164,2007,1999.0,Gtl,NoRidge,CompShg,Gd,Unf,290000,64,11764,2Story,8,1999,Y,2,1,4,Gd,2010,290000
2610,550.0,2.0,1184.0,1184,2007,2007.0,Gtl,Somerst,CompShg,Gd,Unf,303477,1799,9000,2Story,8,2007,Y,2,1,4,Ex,2007,303477
1483,690.0,2.0,1420.0,1483,2001,1977.0,Mod,ClearCr,CompShg,Gd,Unf,270000,230,20062,1Story,7,1977,Y,1,1,1,TA,2010,270000
1740,225.0,1.0,936.0,960,1950,1920.0,Gtl,OldTown,CompShg,Fa,Unf,122250,1295,7308,1.5Fin,5,1920,N,1,0,2,Ex,2008,122250
1382,350.0,1.0,1382.0,1382,1955,1955.0,Gtl,NAmes,CompShg,TA,LwQ,153000,638,8750,1Story,5,1955,Y,1,0,3,Gd,2009,153000
1120,0.0,0.0,1120.0,1120,2007,1978.7077955601446,Gtl,Mitchel,CompShg,TA,Unf,147000,2278,8402,1Story,5,2007,Y,1,0,3,TA,2007,147000
1098,216.0,1.0,531.0,567,1995,1930.0,Gtl,Crawfor,CompShg,TA,Unf,148500,2202,4000,2Story,7,1930,Y,1,0,2,TA,2007,148500
1708,380.0,2.0,976.0,976,2004,2004.0,Gtl,Edwards,CompShg,Gd,Unf,130000,2833,3363,2Story,7,2004,Y,2,0,3,Gd,2006,130000
1802,843.0,3.0,1802.0,1802,2006,2006.0,Mod,NridgHt,CompShg,Ex,Unf,372000,1707,13615,1Story,9,2006,Y,2,1,3,Ex,2007,372000
1506,440.0,2.0,1362.0,1506,2005,2005.0,Gtl,Blmngtn,CompShg,Gd,Unf,213490,2428,3013,1Story,7,2005,Y,2,0,2,Gd,2006,213490
1508,572.0,2.0,1508.0,1508,2010,2009.0,Gtl,Edwards,CompShg,Gd,Unf,308030,242,17485,1Story,7,2009,Y,1,0,1,Gd,2010,308030
2032,786.0,3.0,1840.0,2032,1997,1996.0,Gtl,Mitchel,CompShg,Gd,Unf,300000,1564,23730,1Story,7,1996,Y,3,0,3,Gd,2008,300000
1194,539.0,2.0,655.0,1194,1959,1954.0,Gtl,NAmes,CompShg,TA,Unf,159500,2613,8910,1Story,6,1959,Y,1,0,3,TA,2006,159500
1709,380.0,2.0,970.0,970,2004,2004.0,Gtl,Edwards,CompShg,Gd,Unf,137500,2832,2522,2Story,7,2004,Y,2,0,3,Gd,2006,137500
1616,834.0,3.0,1616.0,1616,2005,2005.0,Gtl,Somerst,CompShg,Gd,Unf,232000,2459,8688,1Story,7,2005,Y,2,0,3,Gd,2006,232000
768,440.0,2.0,768.0,768,1950,1930.0,Gtl,IDOTRR,CompShg,Gd,Unf,93850,1360,6291,1Story,6,1930,Y,1,0,1,TA,2008,93850
872,322.0,1.0,872.0,872,1950,1924.0,Gtl,Sawyer,CompShg,TA,Unf,105000,2723,17529,1Story,5,1924,N,1,0,2,Fa,2006,105000
520,240.0,1.0,520.0,520,1950,1920.0,Gtl,BrkSide,CompShg,TA,Unf,68500,1350,6324,1Story,4,1927,N,1,0,1,Fa,2008,68500
2274,480.0,2.0,1105.0,1105,1960,1960.0,Gtl,NAmes,CompShg,TA,Unf,154300,136,11600,2Story,5,1960,Y,2,0,5,TA,2010,154300
1601,0.0,0.0,936.0,936,2003,1978.7077955601446,Gtl,IDOTRR,CompShg,Gd,Unf,129850,2235,7288,1.5Fin,5,1925,Y,2,0,3,TA,2007,129850
1232,480.0,2.0,616.0,616,1950,1920.0,Gtl,OldTown,CompShg,TA,Unf,114000,1993,4571,2Story,5,1910,Y,1,0,3,TA,2007,114000
2234,1166.0,3.0,2216.0,2234,2009,2009.0,Gtl,StoneBr,CompShg,Ex,Unf,501837,367,17423,1Story,9,2008,Y,2,0,1,Ex,2009,501837
1416,720.0,3.0,876.0,876,1950,1949.0,Gtl,OldTown,CompShg,TA,Unf,153900,1309,12665,1.5Fin,5,1915,Y,1,1,4,TA,2008,153900
864,576.0,2.0,864.0,864,2006,1986.0,Gtl,NAmes,CompShg,TA,Unf,130000,402,9000,1Story,4,1971,Y,1,0,3,TA,2009,130000
1189,392.0,2.0,1189.0,1189,1997,1997.0,Gtl,Mitchel,CompShg,TA,Unf,160500,1592,4500,1Story,6,1997,Y,2,0,2,TA,2008,160500
1666,575.0,2.0,1666.0,1666,2006,2006.0,Gtl,NridgHt,CompShg,Ex,Unf,310090,2409,6373,1Story,9,2006,Y,2,0,2,Gd,2006,310090
1200,555.0,2.0,1176.0,1200,2003,2003.0,Gtl,SawyerW,CompShg,Gd,Unf,184900,539,10083,1Story,7,2003,Y,2,0,2,Gd,2009,184900
928,252.0,1.0,928.0,928,2000,1956.0,Gtl,NAmes,CompShg,TA,Unf,132000,1940,13300,1Story,5,1956,Y,1,0,2,TA,2007,132000
1336,502.0,2.0,1288.0,1336,1969,1969.0,Gtl,NWAmes,CompShg,TA,Rec,163000,588,9600,1Story,5,1969,Y,2,0,3,TA,2009,163000
1200,480.0,2.0,600.0,600,2004,2004.0,Gtl,Somerst,CompShg,Gd,Unf,155000,96,3215,2Story,7,2004,Y,2,1,2,Gd,2010,155000
1427,516.0,2.0,1427.0,1427,1969,1969.0,Gtl,NWAmes,CompShg,TA,Unf,183000,1187,11104,SLvl,6,1969,Y,2,0,4,TA,2008,183000
1992,608.0,2.0,860.0,1212,2002,1996.0,Gtl,CollgCr,CompShg,Gd,Unf,211000,2154,15295,2Story,7,1996,Y,2,1,3,Gd,2007,211000
1540,495.0,2.0,754.0,754,1994,1994.0,Gtl,SawyerW,CompShg,Gd,GLQ,184000,550,9109,2Story,7,1994,Y,2,1,3,Gd,2009,184000
1535,400.0,2.0,0.0,1535,1979,1979.0,Gtl,SawyerW,CompShg,TA,NONE,118858,811,7018,1Story,5,1979,Y,2,0,4,TA,2009,118858
1152,484.0,2.0,1152.0,1152,1964,1964.0,Gtl,NAmes,CompShg,TA,Unf,180500,124,14112,SLvl,5,1964,Y,1,0,3,TA,2010,180500
1151,484.0,2.0,1141.0,1151,2007,2006.0,Gtl,Somerst,CompShg,Gd,Unf,166000,1836,3523,1Story,8,2006,Y,2,0,2,Gd,2007,166000
1138,480.0,2.0,1138.0,1138,1960,1960.0,Gtl,Sawyer,CompShg,TA,Unf,148000,779,15312,SLvl,6,1960,Y,1,0,3,TA,2009,148000
1074,396.0,2.0,894.0,1074,1956,1966.0,Gtl,NAmes,CompShg,TA,LwQ,124000,1886,7450,1Story,5,1956,Y,1,0,2,Gd,2007,124000
1561,556.0,2.0,1561.0,1561,2005,2005.0,Gtl,NridgHt,CompShg,Ex,Unf,277500,1724,7313,1Story,9,2005,Y,2,0,2,Ex,2007,277500
2726,725.0,3.0,1342.0,1358,1995,1995.0,Gtl,NoRidge,CompShg,Gd,Unf,350000,2450,10019,2Story,8,1995,Y,2,1,4,Gd,2006,350000
1884,670.0,3.0,1884.0,1884,2004,2004.0,Gtl,StoneBr,CompShg,Ex,Unf,387000,1013,15401,1Story,9,2004,Y,2,0,2,Ex,2008,387000
605,0.0,0.0,528.0,605,2002,1978.7077955601446,Gtl,Edwards,CompShg,TA,Unf,86000,2084,9098,1Story,4,1920,Y,1,0,2,TA,2007,86000
1671,550.0,2.0,1426.0,1671,2007,1976.0,Gtl,Veenker,CompShg,Ex,Rec,290000,1184,16280,1Story,8,1976,Y,3,0,3,Ex,2008,290000
797,0.0,0.0,245.0,797,1950,1978.7077955601446,Gtl,IDOTRR,CompShg,TA,Unf,44000,728,9392,1Story,3,1900,N,1,0,2,TA,2009,44000
1961,560.0,2.0,804.0,804,2002,2001.0,Gtl,Mitchel,CompShg,TA,Unf,215000,950,12209,2Story,6,2001,Y,2,1,3,Gd,2009,215000
1193,501.0,2.0,1153.0,1193,1972,1972.0,Gtl,NWAmes,CompShg,TA,Unf,146500,2524,13110,1Story,5,1972,Y,2,0,2,TA,2006,146500
1382,490.0,2.0,673.0,673,2000,2000.0,Gtl,Somerst,CompShg,Gd,Unf,165000,2513,2651,2Story,7,2000,Y,2,1,3,Gd,2006,165000
2526,216.0,1.0,714.0,1664,1950,1916.0,Gtl,OldTown,CompShg,TA,LwQ,136000,2028,8520,1.5Fin,6,1916,N,2,0,5,Gd,2007,136000
1390,550.0,2.0,1705.0,1390,1957,1957.0,Sev,NAmes,CompShg,TA,Unf,252000,2309,39384,1Story,6,1957,Y,1,1,1,Ex,2006,252000
1626,474.0,2.0,764.0,764,2003,2003.0,Gtl,NridgHt,CompShg,Gd,Unf,175500,51,2628,2Story,7,2003,Y,2,1,2,Gd,2010,175500
1558,400.0,2.0,690.0,868,1950,1939.0,Gtl,OldTown,CompShg,TA,Unf,150000,699,6406,2Story,5,1939,Y,1,1,3,TA,2009,150000
1422,286.0,1.0,978.0,1422,1978,1960.0,Gtl,NAmes,CompShg,TA,Unf,139900,1881,12342,1Story,5,1960,Y,1,0,3,TA,2007,139900
1573,360.0,2.0,1078.0,1128,1992,1930.0,Gtl,BrkSide,CompShg,TA,Unf,162900,1345,6240,1.5Fin,5,1930,Y,2,0,3,TA,2008,162900
1116,440.0,2.0,1116.0,1116,1962,1962.0,Gtl,NAmes,CompShg,TA,Unf,160000,166,10000,1Story,6,1962,Y,1,1,3,TA,2010,160000
660,0.0,0.0,0.0,660,1950,1978.7077955601446,Gtl,Sawyer,CompShg,TA,NONE,63900,781,9000,1Story,2,1947,N,1,0,2,Fa,2009,63900
1707,479.0,2.0,1140.0,1707,1998,1978.0,Gtl,NWAmes,CompShg,TA,Unf,184000,379,11088,1Story,6,1978,Y,2,0,3,TA,2009,184000
1466,528.0,2.0,1466.0,1466,1959,1959.0,Gtl,Edwards,CompShg,TA,Unf,149900,2818,17755,1Story,5,1959,Y,1,1,3,Fa,2006,149900
1638,495.0,2.0,1614.0,1638,2000,2000.0,Gtl,Somerst,CompShg,Gd,Unf,300000,1168,4765,1Story,9,2000,Y,2,0,2,Ex,2008,300000
1721,626.0,2.0,988.0,1721,1960,1960.0,Gtl,ClearCr,Tar&Grv,TA,Unf,145000,1396,10532,1Story,5,1960,Y,2,0,3,TA,2008,145000
1764,470.0,2.0,928.0,928,1997,1997.0,Gtl,CollgCr,CompShg,TA,Unf,231500,838,15426,2Story,6,1997,Y,2,1,3,Gd,2009,231500
996,0.0,0.0,996.0,996,1969,1978.7077955601446,Gtl,Edwards,CompShg,TA,Unf,108000,1492,13907,1Story,5,1940,Y,1,0,3,TA,2008,108000
1202,304.0,1.0,1202.0,1202,1956,1956.0,Gtl,NAmes,CompShg,TA,BLQ,120000,637,8750,1Story,5,1956,Y,1,0,3,TA,2009,120000
988,572.0,2.0,988.0,988,1961,1963.0,Gtl,Sawyer,CompShg,TA,Unf,128500,1826,9945,1Story,5,1961,Y,1,0,3,TA,2007,128500
1028,360.0,2.0,1008.0,1028,1950,1927.0,Gtl,OldTown,CompShg,TA,Unf,115000,173,8960,1Story,5,1927,Y,1,0,2,TA,2010,115000
1284,240.0,1.0,720.0,720,1950,1948.0,Gtl,OldTown,CompShg,TA,Unf,110000,715,3500,1.5Fin,5,1947,Y,1,1,2,TA,2009,110000
2944,864.0,3.0,994.0,1599,1977,1977.0,Gtl,Veenker,CompShg,Gd,Unf,150000,1183,24572,2Story,9,1977,Y,2,2,3,Gd,2008,150000
1414,403.0,2.0,707.0,707,2004,2004.0,Gtl,Gilbert,CompShg,Gd,Unf,178000,2433,9056,2Story,8,2004,Y,2,1,3,Gd,2006,178000
1609,579.0,3.0,637.0,959,1990,1963.0,Gtl,Crawfor,CompShg,TA,Unf,199500,2866,12320,2Story,7,1932,Y,1,1,3,Gd,2006,199500
1525,400.0,2.0,813.0,813,1998,1997.0,Gtl,Gilbert,CompShg,TA,Unf,183500,2311,8238,2Story,6,1997,Y,2,1,3,TA,2006,183500
1656,288.0,1.0,624.0,1092,1967,1967.0,Gtl,IDOTRR,CompShg,Fa,Unf,126000,1551,6000,SLvl,5,1967,Y,1,1,3,TA,2008,126000
1055,440.0,2.0,1055.0,1055,1977,1977.0,Gtl,NPkVill,CompShg,TA,Unf,148500,1049,2529,1Story,7,1977,Y,2,0,2,TA,2008,148500
1352,720.0,2.0,676.0,676,2006,1939.0,Gtl,OldTown,CompShg,TA,Unf,149000,657,10800,2Story,5,1939,Y,2,0,4,Gd,2009,149000
1456,440.0,2.0,855.0,855,1977,1977.0,Gtl,NPkVill,CompShg,TA,Unf,137900,414,2349,2Story,6,1977,Y,2,1,3,TA,2009,137900
1719,473.0,2.0,1719.0,1719,1993,1993.0,Gtl,Veenker,CompShg,Gd,Unf,324000,1181,10846,1Story,8,1993,Y,1,1,1,Gd,2008,324000
864,0.0,0.0,864.0,864,1950,1978.7077955601446,Gtl,Edwards,CompShg,TA,Unf,98000,1514,5604,1Story,5,1925,N,1,0,2,TA,2008,98000
987,264.0,1.0,483.0,483,1973,1973.0,Gtl,BrDale,CompShg,TA,Unf,103400,1040,1680,2Story,6,1973,Y,1,1,2,TA,2008,103400
1020,0.0,0.0,780.0,780,1996,1978.7077955601446,Gtl,Sawyer,CompShg,TA,Unf,94000,216,6342,1.5Fin,5,1875,N,1,0,2,TA,2010,94000
1554,627.0,2.0,1554.0,1554,2006,2006.0,Gtl,NridgHt,CompShg,Gd,Unf,209500,1720,4590,1Story,8,2006,Y,2,0,2,Gd,2007,209500
3390,758.0,3.0,1528.0,1528,2006,2006.0,Gtl,StoneBr,CompShg,Ex,Unf,545224,2331,18062,2Story,10,2006,Y,3,1,5,Ex,2006,545224
1560,0.0,0.0,780.0,780,2009,1978.7077955601446,Gtl,OldTown,CompShg,Gd,Unf,159900,204,12900,2Story,6,1912,Y,1,1,3,Gd,2010,159900
864,400.0,2.0,864.0,864,1951,1951.0,Gtl,Gilbert,CompShg,TA,Unf,141000,19,19138,1Story,4,1951,Y,1,0,2,TA,2010,141000
1889,431.0,2.0,982.0,1008,2000,2000.0,Gtl,Gilbert,CompShg,TA,Unf,215000,2438,8658,2Story,6,2000,Y,2,1,3,TA,2006,215000
1040,260.0,1.0,1040.0,1040,2010,1962.0,Gtl,Sawyer,CompShg,TA,Unf,127000,89,6897,1Story,5,1962,Y,1,1,3,TA,2010,127000
1172,366.0,1.0,1172.0,1172,1998,1954.0,Gtl,Edwards,CompShg,TA,Unf,128000,240,9525,1Story,5,1954,Y,1,0,3,TA,2010,128000
1418,852.0,3.0,1642.0,1418,2010,2010.0,Gtl,Somerst,CompShg,Gd,Unf,267916,105,12853,1Story,8,2010,Y,1,1,1,Gd,2010,267916
1367,560.0,1.0,884.0,959,1950,1978.0,Gtl,BrkSide,CompShg,TA,Unf,127500,2020,6240,1.5Fin,6,1931,Y,1,0,3,TA,2007,127500
1922,672.0,2.0,0.0,495,2003,2003.0,Gtl,Edwards,CompShg,Gd,NONE,198500,888,7301,SFoyer,7,2003,Y,3,0,4,Gd,2009,198500
1422,576.0,2.0,1422.0,1422,1981,1981.0,Gtl,NWAmes,CompShg,TA,LwQ,175500,1019,12090,1Story,6,1981,Y,2,0,3,Gd,2008,175500
1842,486.0,2.0,985.0,985,2000,2000.0,Gtl,CollgCr,CompShg,Gd,Unf,217500,2132,8826,2Story,7,2000,Y,2,1,3,Gd,2007,217500
1962,572.0,2.0,888.0,888,1950,1915.0,Gtl,OldTown,CompShg,TA,Unf,149500,203,8094,1.5Fin,4,1915,Y,1,1,4,TA,2010,149500
1120,656.0,2.0,864.0,1120,2004,1966.0,Gtl,NAmes,CompShg,Gd,Unf,148800,420,10710,1Story,5,1966,Y,1,0,3,TA,2009,148800
2868,716.0,3.0,1992.0,1992,2006,2005.0,Gtl,StoneBr,CompShg,Gd,Unf,556581,2333,16056,2Story,9,2005,Y,3,1,4,Ex,2006,556581
1478,442.0,2.0,1478.0,1478,1957,1957.0,Gtl,NAmes,CompShg,TA,Rec,156500,632,8400,1Story,6,1957,Y,1,1,3,TA,2009,156500
1995,610.0,2.0,930.0,950,1996,1995.0,Gtl,CollgCr,CompShg,Gd,Unf,237000,2800,11250,2Story,7,1995,Y,2,1,4,Gd,2006,237000
912,297.0,1.0,912.0,912,1985,1958.0,Gtl,NAmes,CompShg,TA,LwQ,120000,1885,7535,1Story,5,1958,Y,1,0,2,TA,2007,120000
1326,388.0,2.0,1326.0,1326,2005,2005.0,Gtl,Gilbert,CompShg,TA,Unf,203000,1734,12216,1Story,6,2005,Y,2,0,3,Gd,2007,203000
1204,461.0,2.0,1191.0,1204,1987,1987.0,Gtl,StoneBr,CompShg,TA,Unf,130000,2327,3701,1Story,8,1987,Y,2,0,2,TA,2006,130000
1611,442.0,2.0,780.0,798,1964,1964.0,Mod,NAmes,CompShg,TA,LwQ,167900,1282,9760,2Story,6,1964,Y,1,1,4,TA,2008,167900
960,576.0,2.0,960.0,960,1970,1970.0,Gtl,BrkSide,CompShg,TA,Unf,129000,2688,9873,1Story,4,1970,N,1,0,3,TA,2006,129000
1236,447.0,1.0,1070.0,1236,1996,1957.0,Gtl,NAmes,CompShg,TA,Unf,134450,2581,10011,1Story,5,1957,Y,1,0,2,Gd,2006,134450
